admin2Name,admin2Pcod,Year,NDVI,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDWI,NDWI_1,NDWI_2,NDWI_3,NDWI_4,NDWI_5,NDWI_6,NDWI_7,NDVI_p75,NDWI_p75
Ban Kha,TH7010,2013,0.6205300248245417,,0.6870204091639375,0.5106049433350563,0.6819982494109819,0.6805545825052834,0.7041657907120037,0.6604730109217298,0.43935168553913356,,0.5275382352117759,0.4245644584298134,0.5591526829497688,0.5714060831705563,0.549402368489159,0.5047633248998372,0.6709602967068594,0.5210709589378707
Mueang Pattani,TH9401,2013,0.6233196090207147,0.6267271589676764,0.6159376953975544,0.6118316455658108,0.6134857149021525,0.5882297665789192,0.5897777530613678,0.5937206845375849,0.5524783419120582,0.5890870819968038,0.5608230537058967,0.49975848376041415,0.5409111897049395,0.6046110114844218,0.6112167002633162,0.5845129654904236,0.6029408351839876,0.5629614407503158
Khok Pho,TH9402,2013,0.6834918709672465,0.7140316247033488,0.6888481264744446,0.6865478777785313,0.6283813741846007,0.7454413498869877,0.6276702367006783,0.6403631962605199,0.5506274790049799,0.5910400573709603,0.5742927949906533,0.5252130855799181,0.48828242267696625,0.5787208882753242,0.5960977440342989,0.5893554588600106,0.6687566589387764,0.5607088460566417
Nong Chik,TH9403,2013,0.6639729897654048,0.6802981825821661,0.6490738951991828,0.6490078786240397,0.6256705844545997,0.6586284561225668,0.6489098404055547,0.6326434000091857,0.5424888729156871,0.5730320181725347,0.5637623134997224,0.508559789607824,0.5036115612056444,0.5903875755057746,0.598160919145997,0.5676137077633477,0.650979410266677,0.556352075049106
Panare,TH9404,2013,0.5593899433035066,0.6044015425939727,0.6627760240974283,0.6158008283540559,0.615040929077599,0.5878928534223026,0.6184412581624085,0.6443073603828128,0.5386570159482039,0.6383545383048298,0.5841444348499727,0.5375845024533442,0.5452318843160767,0.5976346452171332,0.6527420404754181,0.5652718103775867,0.6053949107971552,0.5910548712436419
Mayo,TH9405,2013,0.6614766968773831,0.712032084988931,0.6665431991434304,0.6902041662986648,0.6791125230314473,0.6932436333591897,0.6880987191281366,0.6071862073595858,0.5405501722700966,0.5865425892773248,0.5452499863895025,0.5367511923695499,0.5194587611243117,0.5934924881399757,0.6101662118824099,0.5829698108572205,0.6795500525084456,0.5577363595465761
Thung Yang Daeng,TH9406,2013,0.6609307559096513,0.7114249009178405,0.6985158233640708,0.7010519515526237,0.6942160882829227,0.7085372681341289,0.6595375628461357,0.5699953711174716,0.545595899152816,0.5890225835831544,0.5557052203870886,0.562733597832978,0.5454102372302608,0.6092704531501684,0.5952370486943771,0.5513455139818808,0.6810891910848274,0.5737186607429299
Sai Buri,TH9407,2013,0.6151700433542322,0.67931794324033,0.7591226495892168,0.6674068062422313,0.6059712526163824,0.6023155806841828,0.6860007016800103,0.7023246089617411,0.5255288556469242,0.5605643661172723,0.5951117705329355,0.5994287629670196,0.533138591904776,0.543024983240069,0.6303776871022337,0.6107159323162503,0.6498242749450699,0.5713473584646368
Mai Kaen,TH9408,2013,0.6124113826670805,0.729957436368884,0.7387935007053921,0.6548164249515309,0.5357366439560425,0.7078717863641394,0.7127329666171922,0.3655457856754462,0.5391131131616589,0.5974021613324414,0.6030198531293343,0.5231038301824499,0.47295290827094283,0.565284263422371,0.6353481434079749,0.4001918025314808,0.6849031258157714,0.5764030410699734
Yaring,TH9409,2013,0.664421795928624,0.6812793787183422,0.675149455422555,0.6545594816665323,0.646146897705676,0.6458127698316287,0.6435753353933416,0.6465993994215494,0.5496796706157844,0.6004563116030964,0.5704486635002951,0.5173343994924321,0.5202789230629906,0.6014633332257311,0.6206667863435538,0.5876846178288591,0.6555437470865305,0.5655039020562679
