system:index,admin2Name,Tot_Prec,Tot_Prec_1,Tot_Prec_2,Tot_Prec_3,Tot_Prec_4,Tot_Prec_5,Tot_Prec_6,Tot_Prec_7
000000000000000001c0,Nikhom Phatthana,765.6189948208191,1158.5568695573247,651.9620251393786,1295.9577485701618,1434.9352274576825,2371.5641067560978,940.6814523968043,391.93811997432334
00000000000000000268,Mueang Yasothon,3023.486073620179,5649.430486086303,7336.84949269201,5621.361412074518,5714.433313281864,808.4555304471182,969.5566548076329,142.29071149265064
00000000000000000269,Sai Mun,1171.2098200115502,1753.0369274494694,2768.2841982673194,1969.4748149460438,2347.55039211161,279.9422926023895,205.77443151941483,62.38486098682179
0000000000000000026a,Kut Chum,2701.017217185451,4198.611637510038,7137.317949663426,4913.3308278308195,5879.08526360007,983.856848932715,90.11310252301834,127.09391906094903
0000000000000000026b,Kham Khuean Kaeo,2228.2695525697636,6318.771704842999,6286.994304514866,5339.637449441238,4425.005680722815,1591.673188125386,683.3550603436488,242.65868740842916
0000000000000000026c,Pa Tio,1393.3179141914143,2828.515981692894,3720.2768041685517,2798.4944568914525,2790.3594368018357,798.3805606103411,118.95997731638893,90.75731252501993
0000000000000000026d,Maha Chana Chai,1498.3261850310307,4714.659016510085,4623.167553533292,4380.038602157669,3278.4740556286833,1455.5168736009034,497.15298415445824,116.56481357392141
0000000000000000026e,Kho Wang,644.0252631645576,2091.163367258334,2051.310376324373,2193.7277348434222,1588.7538867071562,810.5251918979719,5.772890859491684,47.457803872432194
0000000000000000026f,Loeng Nok Tha,4454.781087841708,6459.884102155648,12571.285254934717,8135.163053283502,8453.78987541947,1820.336729457799,135.3366602402107,219.13146635831566
00000000000000000270,Thai Charoen,1398.125223570244,1985.5848531807167,3564.1159288387676,2410.3680697441096,2761.5229387451623,569.7775612143909,14.077490327872482,74.53276121382619
0000000000000000034c,Mueang Lamphun,2577.400052379159,2031.7772135005278,2651.64205454845,1920.162602561128,3648.364096127305,2216.735459174362,357.7510625577441,117.13846789949079
0000000000000000034d,Mae Tha,4833.119229872087,3130.8583849888223,3497.4516573831147,2915.34721793848,5557.974238304062,3320.622726268395,1137.428936432857,43.79736401754268
0000000000000000034e,Ban Hong,3329.052330411649,1855.784400034886,1650.8057721811183,1921.4569997151693,3498.89597696884,1887.026585221758,726.6885710734947,52.846720876880724
0000000000000000034f,Li,11017.582988826904,5244.457835840243,5203.246836008745,6583.182601007293,12627.668652488206,6986.531134324916,2943.635829699274,233.03228777109405
00000000000000000350,Thung Hua Chang,3244.3481611925013,1884.8736182325028,1504.444272971621,1540.0435175456255,3530.87211173656,1994.933668175866,255.66706517911422,107.46884889041677
00000000000000000351,Pa Sang,1550.9713178728139,1124.1597174681867,1136.9345257992836,1021.8624063650766,2132.395368007585,1246.2704039461473,256.408350089952,31.663604828890634
00000000000000000352,Ban Thi,964.2148470392415,614.2484457614376,827.8940755806718,611.1646703140409,1136.8303914257124,607.2922479218128,161.29157416212792,58.34537022347544
00000000000000000353,Wiang Nong Long,314.1818353690353,191.6636848636702,203.59965060832454,211.68380202686086,362.7057246469984,183.7089326690225,85.26243986615947,5.433455944061279
00000000000000000354,Mueang Lampang,7857.558541813084,5849.816217766556,6663.138534557119,6301.37948279194,9476.865210311084,4935.673187968311,1338.301637700024,141.6496103029625
00000000000000000355,Mae Mo,8488.898948987326,5215.816875914966,7279.645726228228,6631.521694695715,9824.415205581046,3627.836521661048,1238.6918126087562,246.8209433074091
00000000000000000356,Ko Kha,3761.2020592091135,2819.280670604518,1996.1924188445596,2097.462185939153,3663.9315701419227,1729.158771799125,628.9098113303093,28.413898114597092
00000000000000000357,Soem Ngam,5603.399967937844,3603.3919445308984,2724.442667548797,2574.7061322240265,5414.023493599425,2924.7109741304434,762.0251636748221,152.07836524177998
00000000000000000358,Ngao,12906.441552584778,8015.168003045812,11365.516804606305,10420.271317205237,15039.898660887924,5352.117959447001,2098.648057866564,375.14553095312687
