system:index,admin2Name,T_MAX,T_MAX_1,T_MAX_2,T_MAX_3,T_MAX_4,T_MAX_5,T_MAX_6,T_MAX_7,T_Min,T_Min_1,T_Min_2,T_Min_3,T_Min_4,T_Min_5,T_Min_6,T_Min_7,T_Mean,T_Mean_1,T_Mean_2,T_Mean_3,T_Mean_4,T_Mean_5,T_Mean_6,T_Mean_7
00000000000000000204,Sikhio,32.99559124278375,32.68087398503105,31.289400816936897,30.988530627399903,31.48772723399054,32.24466907215769,31.505410657610227,30.821492176582563,24.91779692254101,25.648294142638765,25.065218067817966,24.61760731132665,24.32022216433573,24.243070350698893,22.32280009003726,21.168998590952512,28.114668678750817,28.38547821044924,27.50599620845044,27.107651678072376,27.262343579246902,27.530803875047358,26.504420268778922,25.874436536241713
00000000000000000205,Pak Chong,32.053658801781225,31.23432901348185,30.06417942770467,29.966811413488962,30.558746519107803,31.240868833012712,30.480667449281146,29.874358031194635,24.281037747503063,24.7643302841339,24.307781080904626,23.914144876141293,23.673360222304435,23.634045487820767,21.896603494061704,20.743379124086836,27.226749167375715,27.192997657943412,26.539564055787373,26.20281015575053,26.417630071887498,26.737901149300544,25.751559891386684,25.134532397177175
00000000000000000206,Nong Bun Mak,33.696468386442795,33.666419275256196,32.34258164115577,31.842391260119474,32.142521512681185,32.88664440210317,33.24833897023964,31.82063972882909,25.114115529820563,25.96232871456425,25.552080193118798,25.08969766368039,24.628166895327386,24.284374402916974,22.548374773108463,21.136021493584934,28.43395580347036,28.910975669086866,28.227208411175294,27.68569328197537,27.67796261552454,27.908542986883656,27.443724623970386,26.270314876624713
00000000000000000207,Kaeng Sanam Nang,33.366517224723935,32.949142945843,31.41612527164414,31.406968688964866,32.18366545688961,33.23805438383128,32.165108781979434,31.17169616300298,24.933232427526427,25.61869200718258,25.14556722758731,24.685557396029267,24.568316895284795,24.35235693660785,21.9895101664979,20.520106168925654,28.354155486307054,28.566765942985654,27.75747945338122,27.38037218635467,27.69548736383888,28.14283358726975,26.59485492470826,25.686562038247125
00000000000000000208,Non Daeng,34.15132522120623,33.906597881895145,32.456564589991736,32.110982592033636,32.57992818196617,33.470100708007834,32.56400499748464,31.698369577989236,25.402787142666924,26.20617366906371,25.676018491802814,25.20204022031844,24.945005049272037,24.537325735381177,22.30483115456323,20.874409998929462,28.87696971546522,29.246620816317492,28.469841419566787,28.003967710552818,28.09843814734259,28.3917429051255,26.995432184392776,26.136083755901176
00000000000000000209,Wang Nam Khiao,31.29633138578235,30.472370354639363,29.581503797557286,29.47312649940249,30.08443876640984,30.57263401815338,30.510890614409448,29.433624353647062,23.360191168240785,23.915753706143892,23.723083891846837,23.36552579139468,23.02905368752678,22.843262532552107,21.13872116297894,19.928330232557247,26.290159103881305,26.316445605134334,25.890179816816524,25.57307067313698,25.77121339284124,26.009100768206892,25.350576793374557,24.49443468313658
0000000000000000020a,Thepharak,33.25472976645746,32.711244477327874,31.25524036514246,31.10977818923448,31.667168475046743,32.784406278576284,32.230536758384055,31.540599973393405,25.053689590725913,25.51546861488403,24.89134203884137,24.48230370286163,24.374279062984577,24.500008992202435,22.547885621049048,21.414113053389094,28.383788984847154,28.35768072307871,27.425063318150674,27.047138546077374,27.3627079233262,27.927275578544975,26.931693180462812,26.290843168480514
0000000000000000020b,Mueang Yang,34.115750716420166,34.00921324540616,32.683315251382574,32.18203432461744,32.69035555378777,33.46143230766842,32.60122863540938,31.75213068163483,25.41187627556621,26.274755036429095,25.755835098095172,25.25083079820271,25.009965486562226,24.526785278320332,22.29994489691233,20.830744648673114,28.881770959061207,29.319756771473426,28.59986060210384,28.07171786304719,28.15902943128952,28.39243261215841,27.02773637521582,26.101286205990167
0000000000000000020c,Phra Thong Kham,33.41558182922723,32.964959690027094,31.46997679771738,31.342665314256124,31.953738804867417,32.88686050504274,32.15984300758409,31.228969536969306,25.00581045764234,25.683403318527873,25.153066570438167,24.70577998468056,24.49935086791281,24.464435671086925,22.349750059250532,20.876270343792353,28.38273774085689,28.541322273120567,27.71758675380062,27.356105782135213,27.576023463199043,28.015587638274997,26.81364188389474,25.924860280512313
0000000000000000020d,Lam Thamenchai,34.108435228135875,34.02398787604441,32.75398351881242,32.135118103027374,32.63409074147545,33.42720055050323,32.64490960439049,31.727491651796843,25.40654644436309,26.271191724141463,25.761369599236406,25.247963714599635,24.992529551188174,24.52968042161732,22.33688524034291,20.866255397422666,28.863355784946044,29.313864050971166,28.62232432895239,28.04340349833173,28.122676828172498,28.36648807525637,27.069272761874753,26.10486622604672
0000000000000000020e,Bua Lai,33.87600891446809,33.582117933262914,32.07448752147906,31.92598955331607,32.539096102688504,33.56376734665837,32.412399041848126,31.56314724340045,25.274220467656058,26.045592878164516,25.549820346519617,25.05848673836132,24.877126141324094,24.541869600223087,22.170328425839973,20.744362858889097,28.746753496680782,29.086459850874125,28.276239530636335,27.848033634039897,28.06159344449072,28.42486320453917,26.860744038566242,26.008104862518483
