system:index,admin2Name,ET,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,ET_7,PET,PET_1,PET_2,PET_3,PET_4,PET_5,PET_6,PET_7
000000000000000000f7,Kantang,132.0,114.60000000000001,122.0,130.3,113.80000000000001,106.0,107.9,114.30000000000001,132.0,114.60000000000001,122.0,132.3,113.80000000000001,106.0,107.9,114.30000000000001
000000000000000000f8,Yan Ta Khao,131.26512180629828,112.59578134284017,120.85941770647655,127.0136066547831,113.46482471776592,106.0506833036245,105.98163992869878,109.40314913844325,131.26512180629828,112.59578134284017,120.85941770647655,128.6475935828877,113.46482471776592,106.0506833036245,105.98163992869878,109.40314913844325
000000000000000000f9,Palian,128.99253932584267,112.16894382022473,119.99959550561796,127.52332584269662,112.53357303370787,106.61707865168539,105.84211235955057,108.81011235955056,128.99253932584267,112.16894382022473,119.99959550561796,128.01451685393258,112.53357303370787,106.61707865168539,105.84211235955057,108.81011235955056
000000000000000000fa,Sikao,,,,,,,,,,,,,,,,
000000000000000000fb,Huai Yot,132.1,109.60000000000001,119.0,128.1,113.2,104.80000000000001,104.7,101.60000000000001,132.1,109.60000000000001,119.0,128.1,113.2,104.80000000000001,104.7,101.60000000000001
000000000000000000fc,Wang Wiset,,,,,,,,,,,,,,,,
000000000000000000fd,Na Yong,130.4757837837838,111.48345945945948,118.93989189189189,127.06854054054055,112.9557837837838,105.12897297297297,105.88713513513514,108.82000000000001,130.4757837837838,111.48345945945948,118.93989189189189,129.06724324324327,112.9557837837838,105.12897297297297,105.88713513513514,108.82000000000001
000000000000000000fe,Ratsada,,,,,,,,,,,,,,,,
000000000000000000ff,Hat Samran,129.5,114.60000000000001,121.80000000000001,124.0,112.9,109.30000000000001,106.80000000000001,110.0,129.5,114.60000000000001,121.80000000000001,131.8,112.9,109.30000000000001,106.80000000000001,110.0
00000000000000000117,Mueang Yala,133.58451882845188,113.44644351464437,118.34351464435147,127.38535564853557,112.27907949790794,112.36736401673642,98.15564853556486,98.33514644351465,134.3020920502092,113.44644351464437,118.34351464435147,127.54937238493724,112.27907949790794,112.36736401673642,98.15564853556486,98.33514644351465
00000000000000000118,Betong,,,,,,,,,,,,,,,,
00000000000000000119,Bannang Sata,,,,,,,,,,,,,,,,
0000000000000000011a,Than To,,,,,,,,,,,,,,,,
0000000000000000011b,Yaha,,,,,,,,,,,,,,,,
0000000000000000011c,Raman,130.53837910247822,116.16436704621569,120.62029470864032,127.51152042866713,114.10187541862022,113.64628265237776,98.30194239785666,98.8304755525787,135.50254521098458,116.16436704621569,120.62029470864032,129.53998660415272,114.10187541862022,113.64628265237776,98.30194239785666,98.8304755525787
0000000000000000011d,Kabang,,,,,,,,,,,,,,,,
0000000000000000011e,Krong Pinang,,,,,,,,,,,,,,,,
000000000000000001cb,Mueang Trat,149.73801301301302,124.37319819819821,126.75863363363362,126.05047547547545,115.01746746746748,106.01836836836837,102.55465465465464,86.68115615615616,149.73801301301302,124.37319819819821,126.75863363363362,126.05047547547545,115.01746746746748,106.01836836836837,126.0086086086086,129.31604104104105
000000000000000001cc,Khlong Yai,,,,,,,,,,,,,,,,
000000000000000001cd,Khao Saming,150.22022072577627,123.4997942386831,124.8918630751964,124.59977553310888,113.65144032921815,105.22689861578748,96.54257388701832,84.13020950243175,150.22022072577627,123.4997942386831,124.8918630751964,124.59977553310888,113.65144032921815,105.22689861578748,125.56584362139918,130.38664421997757
000000000000000001ce,Bo Rai,147.59210770659237,123.30584958217271,123.2280408542247,124.24410399257195,112.46880222841226,103.05543175487468,89.55199628597957,78.39823584029712,147.59210770659237,123.30584958217271,123.2280408542247,124.24410399257195,112.46880222841226,103.05543175487468,121.522191272052,124.83797585886722
000000000000000001cf,Laem Ngop,151.20000000000002,122.0,125.60000000000001,125.4,116.10000000000001,107.5,106.30000000000001,88.10000000000001,151.20000000000002,122.0,125.60000000000001,125.4,116.10000000000001,107.5,126.7,131.20000000000002
000000000000000001d0,Ko Kut,,,,,,,,,,,,,,,,
000000000000000001d1,Ko Chang,,,,,,,,,,,,,,,,
0000000000000000036a,Mueang Phrae,44.996188630490956,118.2325581395349,62.825516795865646,109.44938630490955,119.45555555555555,93.187177002584,52.79622093023257,21.394476744186047,177.7222545219638,140.14114987080106,142.58769379844964,109.44938630490955,119.45555555555555,106.771673126615,110.04095607235142,98.01114341085274
0000000000000000036b,Rong Kwang,43.33741080530071,118.48149847094804,66.69102956167177,109.00005096839959,119.18098878695211,93.00254841997962,47.69546381243629,25.050764525993888,178.3141182466871,138.9047400611621,142.54525993883794,109.00005096839959,119.18098878695211,104.87609582059126,109.54903160040776,98.53664627930685
0000000000000000036c,Long,41.66141025641026,112.77884615384616,63.07903846153846,109.47608974358972,118.85634615384615,104.59833333333334,73.4400641025641,19.831666666666667,174.82128205128203,142.06608974358974,144.1175641025641,109.47608974358972,118.85634615384615,107.24641025641026,110.65333333333334,96.3622435897436
0000000000000000036d,Sung Men,48.500906344410886,122.69295065458206,65.03751258811681,109.82844914400806,118.4811681772407,95.19778449144009,61.751359516616326,26.151158106747236,176.88262839879152,140.83147029204434,142.5235146022155,109.82844914400806,118.4811681772407,105.69964753272912,109.67980866062437,98.5742698892246
