system:index,admin2Name,GCI,GCI_1,GCI_2,GCI_3,GCI_4,GCI_5,GCI_6,GCI_7,GCI_p75
0000000000000000011c,Raman,3.843616211295462,4.485118894437578,4.051598022296149,5.020046573260684,4.439177024084352,2.2457084679011166,4.309093049300674,5.566427710193021,4.543763766918279
0000000000000000011d,Kabang,5.858254147230285,6.200339078759514,5.555536841889137,5.601912596916865,3.9691116404693414,4.071270303913649,4.515660884161102,5.575594558483212,5.350648827782498
0000000000000000011e,Krong Pinang,5.282425512195354,6.01128131805862,5.549116307228829,5.7207979212932,4.135445247804293,4.371849130763153,5.30261565078352,5.68405972654475,5.535284308103741
000000000000000001cb,Mueang Trat,4.0532966064293285,4.183059680909134,5.882187841189542,5.285257004451715,5.293919405789729,5.411748822785947,5.043652930245649,5.032571168135041,5.0627866425309715
000000000000000001cc,Khlong Yai,2.7835065121360483,2.042501841863373,5.008039601676932,3.2678855265746383,4.475096208319562,5.081567799142183,4.184643721073449,4.9015725709119105,4.454267291831575
000000000000000001cd,Khao Saming,3.982190700078493,4.685126976971823,6.040299301838262,4.97434581559239,4.928225120362212,5.2213796234048395,5.812816758511928,5.594093973424014,5.256425823142371
000000000000000001ce,Bo Rai,4.915288628808252,4.935546289114625,5.915524695263549,4.780791459427946,5.286314221033321,5.005337503421218,5.432457290446443,5.243701841111917,5.20897103364916
000000000000000001cf,Laem Ngop,5.443302944863039,4.73480991997687,5.621312167340941,5.379972140543032,5.348319204273641,7.237731037478734,5.9181038514946875,5.851538581325936,5.824587327956852
000000000000000001d0,Ko Kut,4.396976035946624,,6.8846665912199425,6.606058126027721,4.48031793024376,6.385409383712027,5.691098957180275,5.32997301158169,5.943876384950921
000000000000000001d1,Ko Chang,3.7260808621540638,5.599764980860713,6.206225052721088,4.4466181582320825,3.6024811404717627,4.325886918570199,5.333957503352235,4.9725923243302725,5.092978509786453
0000000000000000036a,Mueang Phrae,1.8730543089891691,2.044453358095925,2.7044345592665553,3.364759952626421,3.623043343158497,4.244477449291584,4.008119974972075,2.517711763532782,2.9747098745673317
0000000000000000036b,Rong Kwang,1.7771758621706193,2.02532082297326,,3.586830873484066,4.730479174888887,4.916393499540319,4.592971697178887,3.0278764920860373,3.480284155443694
0000000000000000036c,Long,1.8809165020453955,2.026829286562159,2.790966838268704,3.6844169495480514,4.875911958741809,5.036714447293949,5.398446219043025,3.5889634693756864,3.7851669655230324
0000000000000000036d,Sung Men,1.6869837186487624,1.6986639537686885,2.5960805960640223,4.215902770593691,4.533385342863358,3.5784850332069924,3.223665909412976,2.174316079254859,2.945304734135798
0000000000000000036e,Den Chai,1.80473281469163,1.6678040199552562,3.009370732881243,4.2559727605447915,4.950429608163075,4.771803030169224,4.719130277372257,3.039296718669631,3.484027797772136
0000000000000000036f,Song,1.9967437992779025,2.28038738351141,,3.1076387669779435,4.799387807104988,4.352992621141493,4.4245551895223825,2.8282861624954925,3.3324109115414915
00000000000000000370,Wang Chin,2.267684760285581,2.5525377022970597,2.55915529853673,3.753198685286486,5.053949801529199,5.374316522609656,4.556550987209962,4.076254826083584,3.914672657222598
00000000000000000371,Nong Muang Khai,1.4373294375727035,1.5779218545024347,,3.4472317878826693,4.534738452749626,3.3806820282137586,3.4997653147657526,2.5180380769603823,2.814682753199943
00000000000000000372,Mueang Nan,2.733673203046641,2.888242505845751,,1.032771015249314,4.5269798391546,5.117853273561626,4.32990663438666,3.163031285210755,3.6937830491255004
