system:index,admin2Name,SM,SM_1,SM_2,SM_3,SM_4,SM_5,SM_6,SM_7
000000000000000002d2,Mueang Nong Khai,28.546623634558106,58.235385633896044,77.89700430321089,252.74976828864615,254.50225091029463,254.50225091029463,187.67669645812643,133.74728566699773
000000000000000002d3,Tha Bo,28.767458907152378,31.995846290537536,33.77807641048422,228.4497334517992,257.89249222567753,257.89249222567753,191.11881386050644,137.0958240781875
000000000000000002d4,Phon Phisai,31.591512986385993,131.19407164236745,225.66050014482948,258.7752727623828,258.7752727623828,258.7752727623828,194.06290431592146,141.92569276817608
000000000000000002d5,Si Chiang Mai,35.529153439153454,57.51587301587302,77.2237037037037,283.9750793650794,293.4395238095239,293.4395238095239,228.15777777777785,173.57243386243383
000000000000000002d6,Sangkhom,54.160681976339625,75.04648573416843,91.23496868475992,307.1865344467642,362.4981906750175,366.95549756437026,303.51503131524015,248.35751565762004
000000000000000002d7,Sakhrai,24.029021113243758,22.249558541266794,20.484990403071023,207.2808445297505,225.59143953934748,225.59143953934748,158.05389635316695,105.55239923224566
000000000000000002d8,Fao Rai,33.966364038972536,151.56738263950396,256.50664304694413,258.43928255093005,258.43928255093005,258.43928255093005,195.8615810451727,144.55139503985828
000000000000000002d9,Rattanawapi,49.132846320346324,213.18606601731605,309.91907467532474,309.91907467532474,309.91907467532474,309.91907467532474,250.42941017316022,198.57540584415594
000000000000000002da,Pho Tak,35.35095907928388,42.21726342710996,45.53011508951406,246.16598465473143,293.4133631713555,293.46809462915604,228.1656010230179,173.8514705882353
00000000000000000037,Mueang Phitsanulok,44.72586477987422,47.90555929919137,41.244743935309984,136.46297169811325,206.9979784366577,285.35090970350404,223.28169362084466,169.2499101527403
00000000000000000038,Nakhon Thai,51.35703731317991,84.53128749110381,83.35268241434235,237.75833192123903,291.6033585250957,317.110929609923,255.80507337242003,203.00996373741827
00000000000000000039,Chat Trakan,37.43230318964234,59.04721464358351,53.5741753063148,204.55940770871575,232.45643633116728,246.0734857879855,186.15777072275407,137.7594523537874
0000000000000000003a,Bang Rakam,40.670496997998654,37.49835723815876,33.10736324216142,105.70642094729817,196.27530020013322,294.08291360907253,229.15779686457628,172.16900433622408
0000000000000000003b,Bang Krathum,24.294113620807668,29.97118412046544,25.676226328998403,104.44097650011408,181.02792607802874,209.25701574264198,145.03486196668948,92.22327173169063
0000000000000000003c,Phrom Phiram,50.240916119056806,47.92651720139156,41.66146115191342,139.59899497487433,205.9587939698492,277.9211731735601,219.9402879783533,169.88005411673748
0000000000000000003d,Wat Bot,47.85440289505431,62.33421174723951,52.86453558504223,211.7189848751972,261.6366614085553,299.19913705112737,237.72859794005754,184.64712814326808
0000000000000000003e,Wang Thong,41.70497076023389,59.62837200528198,52.126164874551954,157.6557630635729,220.8288624787776,265.932908885116,205.2887474061497,153.15192416525184
0000000000000000003f,Noen Maprang,19.42439837634097,37.65543635836473,29.38746013337198,98.60554508553204,143.1455349376631,163.02239054798486,100.25831400405919,62.57960278341549
00000000000000000085,Mueang Phetchaburi,31.606232294617566,28.426033994334276,25.85628895184136,23.735949008498583,52.86456090651558,232.07869688385267,183.95713881019827,128.2709915014164
00000000000000000086,Khao Yoi,32.26961796592669,28.988926174496648,26.293314403717087,24.058234383066598,68.38278265358804,264.13167268972643,211.54117191533302,152.33358286009292
00000000000000000087,Nong Ya Plong,64.79051041458708,77.86877620283488,86.77382711119984,95.48837425966593,173.2000133093765,317.62309176815074,268.12893458441476,212.0799760431224
00000000000000000088,Cha-Am,28.893971023523914,26.30364542763671,24.142763670353645,22.308085371553204,34.739149400218096,178.90906683283998,139.53310484499144,95.43832372643715
00000000000000000089,Tha Yang,29.83323224929415,27.095503503084792,24.82999058872738,22.930701662658162,49.84590609641328,217.10726759385125,173.26654815434486,123.28190944264351
0000000000000000008a,Ban Lat,30.741842187991193,27.75756051556114,25.335806350204336,23.30968248978309,57.78060358377868,238.73646651996228,190.4551084564602,135.97035523420305
0000000000000000008b,Ban Laem,32.50800980792807,29.19190845933797,26.562239476910506,24.45684511646915,56.39570903146711,237.19607682877,187.12815692684921,130.91446669391095
0000000000000000008c,Kaeng Krachan,65.2177113702624,72.41872227151728,82.19902712637843,87.24620674356696,164.59142476866526,311.47606477373535,263.43348966915966,209.39274622892634
0000000000000000011f,Mueang Narathiwat,51.721105527638194,130.5464691880455,139.59129859825444,131.20989156307857,166.90727320814597,179.53197566781276,179.74215815921713,179.74215815921713
00000000000000000120,Tak Bai,77.04696428571428,159.5558630952381,162.70699404761905,155.03663690476188,166.03994047619045,166.03994047619045,166.03994047619045,166.03994047619045
00000000000000000121,Bacho,60.90571692023975,139.70539419087137,147.25984324573537,131.7914246196404,154.9390502535731,189.4757030889811,192.1426924850161,192.1426924850161
00000000000000000122,Yi-Ngo,55.49447168970129,139.9227819884084,153.19420419081587,146.15474810521619,175.8651359786001,184.93245653143117,184.93245653143117,184.93245653143117
00000000000000000123,Ra-Ngae,70.9745818707413,166.7257278546356,175.59223621722083,175.76365888911837,177.02552137105107,177.02552137105107,177.02552137105107,177.02552137105107
00000000000000000124,Rueso,73.58145649541603,175.38308251167624,188.86519633281452,186.38989794153272,190.72252205500786,190.72295450614087,190.72295450614087,190.72295450614087
00000000000000000125,Si Sakhon,122.59528812480106,180.5175899395098,180.5175899395098,180.5175899395098,180.5175899395098,180.5175899395098,180.5175899395098,180.5175899395098
00000000000000000126,Waeng,90.81352871521607,151.5741267021906,151.5741267021906,151.5741267021906,151.5741267021906,151.5741267021906,151.5741267021906,151.5741267021906
00000000000000000127,Sukhirin,118.27739075364157,155.60322989233694,155.60322989233694,155.60322989233694,155.60322989233694,155.60322989233694,155.60322989233694,155.60322989233694
00000000000000000128,Su-Ngai Kolok,85.79007490636705,158.3488764044944,158.3488764044944,158.3488764044944,158.3488764044944,158.3488764044944,158.3488764044944,158.3488764044944
00000000000000000129,Su-Ngai Padi,89.46911923826012,162.86522397749408,162.99396234581263,162.91874053235233,162.99396234581263,162.99396234581263,162.99396234581263,162.99396234581263
0000000000000000012a,Chanae,125.77429218573046,168.907715175538,168.907715175538,168.907715175538,168.907715175538,168.907715175538,168.907715175538,168.907715175538
0000000000000000012b,Cho-Airong,76.07417558886512,164.89494646680947,169.9786723768737,169.5461241970022,170.71451820128485,170.71451820128485,170.71451820128485,170.71451820128485
0000000000000000016a,Mueang Pathum Thani,37.276524216524216,35.48404558404559,38.1537321937322,45.044615384615405,153.6651851851852,276.15253561253564,222.24398860398864,160.83401709401707
0000000000000000016b,Khlong Luang,41.07117694155325,40.36858820389645,44.86050173472111,52.10816653322658,177.06010141446498,297.3485455030692,240.8664798505472,179.12265812650125
0000000000000000016c,Thanyaburi,45.42084527220632,47.771633237822364,59.355802292263625,69.51060171919772,213.91461318051583,318.7489255014328,260.75028653295135,198.2027220630373
0000000000000000016d,Nong Suea,46.88749700598802,49.798227544910176,53.47415568862277,72.29762874251497,212.17983233532937,322.9572694610779,264.4844790419162,202.20227544910182
0000000000000000016e,Lat Lum Kaeo,39.53204911092297,35.050719729043195,33.558933107536,34.27464013547842,124.88547840812873,260.23213378492807,210.99851820491114,154.0998306519899
0000000000000000016f,Lam Luk Ka,45.95610543302849,47.56877353415814,61.69195804195803,68.49451317912856,222.10500268961803,324.92100591715973,265.59244217321134,202.57729962345354
00000000000000000170,Sam Khok,36.72560975609757,34.10535230352304,33.5439024390244,37.02750677506775,137.82445799458,264.4475609756098,210.8906504065041,151.51341463414636
000000000000000001c1,Mueang Chanthaburi,115.993480150681,331.7965227470298,331.7965227470298,331.7965227470298,331.7965227470298,331.7965227470298,279.2464213271515,215.45656331498117
000000000000000001c2,Khlung,105.35058909394225,322.11248045042225,322.11248045042225,322.11248045042225,322.11248045042225,322.11248045042225,270.12712960066733,207.48966739651752
000000000000000001c3,Tha Mai,96.04026635330985,319.0506985246116,319.47482700091405,319.47482700091405,319.47482700091405,319.47482700091405,266.24937981459726,199.86204465334902
000000000000000001c4,Pong Nam Ron,70.48606945224155,284.0882909615848,285.7288716015719,285.7288716015719,285.7288716015719,285.7288716015719,229.39204426978907,172.0203865586655
