admin2Name,admin2Pcod,Year,GCI,GCI_1,GCI_2,GCI_3,GCI_4,GCI_5,GCI_6,GCI_7,GCI_p75
Khlong Hat,TH2702,2016,2.0246036415867916,1.3949785662757934,4.389257000125597,,,4.463558579930797,4.912437486410854,3.674165145286306,3.3660444764012434
Ta Phraya,TH2703,2016,1.9224830170011826,1.7632639182910377,2.2429389235287815,,,3.8754204719517324,3.7389310716863373,3.006131323324685,2.63672555292886
Wang Nam Yen,TH2704,2016,1.998142784947568,1.651064436920199,3.805192891349583,,,4.260549991839473,4.29262906910529,3.707274147634548,3.3047923840231572
Watthana Nakhon,TH2705,2016,2.069129219877602,1.8632728694525988,2.888867384823098,4.30729055672456,,4.617199229031558,4.605698041189307,3.277105584035551,3.0284507323189676
Aranyaprathet,TH2706,2016,1.9698569930035699,1.9042724297345728,2.847017492196287,,,4.288494618283916,3.9950595916734266,3.171606930231425,2.908270693741135
Khao Chakan,TH2707,2016,1.8573448653202713,2.2031355156992136,3.6913380291380147,,,4.903111864907603,4.33330058508102,3.4196995261799774,3.2807170740022724
Khok Sung,TH2708,2016,1.9469023504012273,1.614621129668821,2.420399035416309,,,4.578909626008305,4.571092536299333,3.365603637152181,3.046755031341999
Wang Sombun,TH2709,2016,2.0880671238236377,0.8344368395616966,3.967614932069847,,,4.399604894724838,4.463840694283322,3.9017585588877504,3.2410126657690035
Mueang Chaiyaphum,TH3601,2016,1.7461605795043373,2.0182378708809243,2.7938536030916175,3.419945747197464,4.257438698305926,4.234128159715211,3.6673091503730157,2.9941322534010886,2.9824699285521215
Ban Khwao,TH3602,2016,1.9680191558305575,2.6562714489830626,3.525460821812182,3.0274650773710152,3.3546318643517323,4.567237635307728,3.931868317849337,3.0418352489382543,3.267728263868082
Khon Sawan,TH3603,2016,1.7279136363781618,1.4432551654555785,2.3574664497556714,,,4.116306292523804,3.2294024467308295,2.7386124096909668,2.714184652087508
Kaset Sombun,TH3604,2016,1.6976421960503183,2.380719499185753,3.3286016410585155,2.984819865932063,,4.782344571997621,4.2092263254708175,3.24289189639483,3.2435052519386285
Nong Bua Daeng,TH3605,2016,1.5572586548288123,2.4505068744389464,3.261950194581556,3.5177079582487925,,4.624190449770775,3.879994924392539,3.377399409364784,3.3200547459953147
Chatturat,TH3606,2016,1.9105235290853437,2.4818235804745616,3.364809013439541,2.8625679353265925,4.077214103033959,4.486580378730014,3.6761983971301966,2.9476580900630136,3.2067681780694053
Bamnet Narong,TH3607,2016,1.5690453139307776,1.8580239938917118,3.0368121777096677,2.940133113516617,4.141984692363534,4.586064946195982,3.6597972141379254,3.085054001603019,3.071921624494013
Nong Bua Rawe,TH3608,2016,1.83765997639867,3.0799971283979417,4.23452738115224,3.456711944629618,3.9592373731710278,5.263159188128327,4.621091387365859,3.9329025890312197,3.895298444734391
Thep Sathit,TH3609,2016,1.4309412375891177,2.778886890787956,4.193836452096343,3.608783631715717,4.340856001862387,5.349636370229329,4.484475852486006,4.04571919686135,3.8073151710325757
Phu Khiao,TH3610,2016,1.5387809674212283,1.8719667805848623,3.2781700341396247,3.2164100430348253,3.3672990148431983,4.073610233247964,3.6422957915331686,3.338587734079832,2.9810986873112406
Ban Thaen,TH3611,2016,1.725543529543391,1.656337444070364,2.9549802634974873,,,3.853203153571429,3.4072628630187816,3.1169007269940567,2.812875220028656
Kaeng Khro,TH3612,2016,1.62776485462651,1.473797503694668,2.5911877454088583,2.8954310602284723,,3.8963491481815353,3.5566158185346213,3.0972848968431803,2.745609580543616
Khon San,TH3613,2016,1.753946996469367,2.635008972562958,3.6895419518242965,3.8185549983105576,2.7944665154508375,4.792117258784521,4.5446842873859925,3.7952308873220533,3.593218284526883
Phakdi Chumphon,TH3614,2016,1.5247649771403937,2.970775276384505,4.056280735648905,3.2463373159198445,4.007381329658508,5.230792063095824,4.5940586225506985,4.026310829631792,3.793264818186542
Noen Sa-Nga,TH3615,2016,1.8492155607073062,1.448503617932219,3.423325765773377,2.3056979064154906,4.289545323157141,4.119390830475505,3.6341112730562926,2.7586672839857447,3.1029955933206606
Sap Yai,TH3616,2016,1.8081356070444095,2.8831789681963054,3.582216627387627,3.1645855340286713,4.009995177377083,4.648150668788257,3.7826512862919617,3.3052898055953,3.387180602625928
Mueang Khon Kaen,TH4001,2016,1.759970148799214,1.3062598484802386,2.2056828391855414,,2.357920723219665,4.07278706021062,3.184051682549843,2.7240476444721233,2.573195773404859
Ban Fang,TH4002,2016,1.8223004748508749,1.4231041235402162,2.7772976917068255,,2.2194979631762095,3.991101765958216,3.4011031695717273,3.015209673092274,2.75627304299349
Phra Yuen,TH4003,2016,1.7973554346871132,1.2424415010984777,1.9342078474606157,,,3.837423178547129,3.2117455523092873,2.772311937820237,2.4616574506784143
Nong Ruea,TH4004,2016,1.832355870774927,1.6294692364261145,3.0821462697297806,,,4.030739312604751,3.4112462629126794,3.084043917787814,2.8774246203776928
