admin2Name,admin2Pcod,Year,LAI,LAI_1,LAI_2,LAI_3,LAI_4,LAI_5,LAI_6,LAI_7,LAI_p75
Krathum Baen,TH7402,2017,1.4092258042003922,1.3241908486406295,1.3444442555486125,,1.3496343896292804,1.467060053329645,1.2469060644193626,1.207918238194274,1.303997272748698
Ban Phaeo,TH7403,2017,1.352968741718875,1.3985943306053266,1.3515300285659242,,1.3645254841203704,1.39157123113547,1.358944818367486,1.2742409698475334,1.3430390236551
Mueang Sing Buri,TH1701,2017,1.0090364274665227,1.3405042877370161,1.6696900196939013,1.661893331988705,1.1426070750083512,0.820072786953538,1.1195101149158329,1.0400724918618292,1.171326783475461
Bang Rachan,TH1702,2017,1.2255202500124,1.7008213329181545,1.7811021225902781,1.7366087703578206,1.341139251539608,1.6883096749635857,1.4717984820344947,1.2065071243767889,1.4475422257694766
Khai Bang Rachan,TH1703,2017,1.20363367431193,1.6252381327163712,1.8075052922229538,1.5854918507068763,1.3654555399366164,1.8716240272264932,1.3619469990602948,1.2634395452278802,1.4253123585854839
Phrom Buri,TH1704,2017,1.0884587823621432,1.430803276648836,1.799522535444556,1.5862691339735717,1.3360728870712217,1.2981148164458396,1.260804472627463,1.2606793569260413,1.3425181811906546
Tha Chang,TH1705,2017,1.1115749534391062,1.322991239848511,1.67746708411861,1.6471450917384196,1.412353900272371,1.5585901897758114,0.7476728902614164,1.0458330334998163,1.2380413973652038
In Buri,TH1706,2017,0.8422898480680332,1.2057428395190717,1.6132964970574293,1.7001348851117006,0.9048555367062928,0.5220886537650445,0.9270652299272993,0.8925070399835936,0.9480783908474769
Mueang Buri Ram,TH3101,2017,1.1100880076162254,0.9271258928498772,1.0432501692946927,1.3811079626156677,1.3977033415659108,1.6659289776592079,1.3612467340381529,0.8114507208796222,1.2045121837352013
Khu Mueang,TH3102,2017,1.0749434558784063,1.0924063440908751,1.3072018948995807,1.4407317217136348,1.5334747270328941,1.5891829696860098,1.3774226994818268,0.9877521776352397,1.2546497537084176
Krasang,TH3103,2017,0.8669006123176859,1.0740011211315361,0.9121175038937918,1.3276203484551101,1.4497787028059983,1.5699315437617758,1.2305691968404973,0.8324292919968861,1.1698346226733465
Nang Rong,TH3104,2017,0.9838736544174342,1.1019679661408035,1.1492183739394435,1.3739348846425854,1.4771242076261393,1.672997781010135,1.4232349100678314,0.8325362650294963,1.1611917484006977
Nong Ki,TH3105,2017,1.0749095103597666,1.2177403916331595,1.3538388733024298,1.5240266967854272,1.6484696916010053,1.743933433009889,1.4134868678945471,0.9908918942931447,1.2673656020196467
Lahan Sai,TH3106,2017,1.3581460927221851,1.3854085559427634,1.2930080871284595,1.487792939751292,1.7045105043062503,1.6515575747568825,1.4894833061907702,1.0542798156578062,1.3821313226901653
Prakhon Chai,TH3107,2017,0.9629700604158314,1.2174982128602392,1.1443976653858596,1.4625910674729046,1.4196687814487523,1.5269117197204805,1.303050567513263,0.8237486483747768,1.2155516279453091
Ban Kruat,TH3108,2017,1.5130911658562678,1.8467588103950636,1.496063891232626,1.7003420818258022,1.7065151681031543,1.6603730119166973,1.44510721918208,1.1750268592716826,1.553781479735705
Phutthaisong,TH3109,2017,0.5679869038182888,0.8735114408150279,1.1495406289758408,1.0952426624813145,1.2505563532086412,1.4711737414800947,1.1775226910348993,0.7387649204452826,1.0286884610530413
Lam Plai Mat,TH3110,2017,0.9765428760012881,0.8877648380356983,0.9774011104414,1.3351182118935363,1.3719292928069797,1.7312114081631833,1.4005057327215649,0.8695764054957003,1.187184778547761
Satuek,TH3111,2017,1.213174701022973,1.3991176875240152,1.3396822213675836,1.5780508000301465,1.6582324081627788,1.6280810429437216,1.3394829769682866,1.0955592146221753,1.4001956814825811
Pakham,TH3112,2017,1.3630374662666505,1.3148744829944945,1.3306450109555694,1.4805454129160704,1.6170039646290673,2.3120148769492426,1.5444783209126451,1.015296807197333,1.46276795774355
Na Pho,TH3113,2017,0.5811867885242609,0.8241189143206519,1.2628183535414401,1.3346793227392821,1.569645493528518,1.6307835879285775,1.339722244455395,0.7445232658454353,1.118544640096852
Nong Hong,TH3114,2017,1.0347128759348956,1.1432021693673098,1.2576750145780824,1.600580726849289,1.612634454934886,1.7559809110878766,1.5180613446593971,1.0753955712205807,1.3351909395398176
Phlapphla Chai,TH3115,2017,0.8943929212726577,1.097554463125545,1.0441455731302987,1.4168229984470162,1.3568096876235745,1.467686990903587,1.204546409223582,0.8035724646433845,1.154123449157844
Huai Rat,TH3116,2017,0.925838712183516,0.8770530462510572,1.0553406787701558,1.4931066229519383,1.585772225751566,1.6212166433481852,1.3684757247502728,0.7741963196828381,1.2122856669388127
Non Suwan,TH3117,2017,1.3671341499401604,1.511295334712976,1.7102846348142355,1.814609355539675,2.1837192689811835,2.50509185349179,1.6643208527279008,1.0853729770927507,1.574144993594132
Chamni,TH3118,2017,0.8769808340190338,0.9372435689974167,1.0787520879988821,1.3298833461338648,1.3398487958789367,1.5722054405274601,1.3049192308142807,0.7835371913366704,1.106582699190698
Ban Mai Chaiyaphot,TH3119,2017,0.44208908265207975,0.8036973565182365,,1.3027892225086286,1.524035889046553,1.5616464959028402,1.2087195605633145,0.7723889416276672,1.1308838253603812
Non Din Daeng,TH3120,2017,1.4296184304031736,1.3154362024880608,1.434403404332867,1.3914358373690385,1.672991554076623,1.9574662643672012,1.4771731550259186,1.053321610554637,1.4238883972774437
Ban Dan,TH3121,2017,1.560539370583198,1.2839036705857114,1.3301675321710082,1.5638345081008607,1.641046242892886,1.626764245648666,1.4861463437105384,1.1232715838795966,1.4477047156173135
Khaen Dong,TH3122,2017,1.175839071728982,1.1914289911555733,1.2915276989409694,1.3466431595206685,1.4552092273598856,1.4173695923153686,1.2238439592285177,1.0369951027377138,1.2477772889046814
Chaloem Phra Kiat,TH3123,2017,0.7208440401929631,0.8645835209315361,0.9252166183207877,1.2453676040415806,1.7020741685778673,1.577822899336004,1.3717380635308476,0.6885930070792563,1.00252615177336
Mueang Maha Sarakham,TH4401,2017,1.0181291674555435,0.990756943016208,1.101998452168245,1.265474359582932,1.4991392628871283,1.4710526655712861,1.150879661798823,0.8049133648301391,1.1191330194012075
Kae Dam,TH4402,2017,1.0645802161339293,1.6055915020195164,1.2059715672023077,1.479772054516396,1.690378890595299,1.6935077956110003,1.3151912407215993,0.824050658648745,1.3433889095887739
Kosum Phisai,TH4403,2017,1.0473611583206706,0.9651013514985348,1.1586768383113792,1.1278361846169278,0.5564519536862751,1.2761511535513874,1.038029077638018,0.7702265751694082,1.0364137740612716
Kantharawichai,TH4404,2017,0.7038309013479361,0.6976182199330502,1.1144684669476201,1.0225432387446025,0.8466470142253276,1.3663899416360337,1.0563003961624253,0.6730465749592653,0.9280952448774469
Chiang Yuen,TH4405,2017,0.9312037291511367,0.8155678784121227,1.1384981319250038,1.2645686417745179,,1.6672620387009678,1.3910691268155353,0.8438812074393335,1.1584823707138037
