admin2Name,admin2Pcod,Year,SM,SM_1,SM_2,SM_3,SM_4,SM_5,SM_6,SM_7,F_SM
Wat Phleng,TH7009,2017,183.43251533742333,171.8680981595092,197.5877300613497,195.3803680981595,261.11840490797545,295.28098159509204,276.9466257668712,213.29754601226992,224.3640337423313
Ban Kha,TH7010,2017,166.99743999999998,159.60908,166.00664,164.78163999999998,225.26963999999998,262.16083999999995,240.49831999999995,186.99236000000002,196.539495
Mueang Pattani,TH9401,2017,82.30000000000001,59.400000000000006,58.900000000000006,56.900000000000006,72.9,78.10000000000001,218.8,218.8,105.76249999999999
Khok Pho,TH9402,2017,140.51325648414985,110.15489913544668,123.42752161383285,140.86512968299712,195.5548991354467,207.04884726224782,239.05057636887608,239.05057636887608,174.45821325648416
Nong Chik,TH9403,2017,130.3,100.5,110.80000000000001,123.10000000000001,171.4,180.60000000000002,235.9,235.9,161.06250000000003
Panare,TH9404,2017,92.53333333333333,66.0562032884903,73.53243647234679,76.05844544095666,114.0086696562033,114.80119581464874,206.2727952167414,206.2727952167414,118.6919843049327
Mayo,TH9405,2017,111.75147717099374,82.69444941808415,96.42094897045656,109.129811996419,158.65568487018797,161.64028648164725,213.01396598030436,213.01396598030436,143.29007385854968
Thung Yang Daeng,TH9406,2017,146.4,113.4,143.9,182.0,211.10000000000002,211.10000000000002,211.10000000000002,211.10000000000002,178.7625
Sai Buri,TH9407,2017,90.7,63.300000000000004,76.3,85.0,132.20000000000002,130.20000000000002,200.9,200.9,122.4375
Mai Kaen,TH9408,2017,95.9,65.4,83.7,104.10000000000001,168.9,168.60000000000002,192.60000000000002,192.60000000000002,133.97500000000002
Yaring,TH9409,2017,91.15414884516682,65.9519247219846,69.3961505560308,69.82668947818651,99.13182207014545,102.86971770744228,212.80128314798975,212.80128314798975,115.49162745936701
Yarang,TH9410,2017,123.18808988764044,92.69123595505619,108.68831460674157,126.69730337078651,182.34719101123596,186.3530337078652,218.40719101123594,218.40719101123594,157.0974438202247
Kapho,TH9411,2017,,,,,,,,,
Mae Lan,TH9412,2017,,,,,,,,,
Mueang Nonthaburi,TH1201,2017,,,,,,,,,
Bang Kruai,TH1202,2017,,,,,,,,,
Bang Yai,TH1203,2017,240.1683257918552,248.38303167420813,283.6031674208145,301.52511312217194,301.75316742081446,301.75316742081446,258.9472850678733,199.30904977375567,266.93028846153845
Bang Bua Thong,TH1204,2017,227.20000000000002,229.70000000000002,256.7,289.5,310.6,310.6,266.8,211.10000000000002,262.77500000000003
Sai Noi,TH1205,2017,219.9469696969697,222.86572622779522,243.9898119122257,274.16034482758624,313.48845350052244,313.48845350052244,270.50506792058513,215.1457680250784,259.1988244514107
Pak Kret,TH1206,2017,,,,,,,,,
Mueang Ang Thong,TH1501,2017,172.16167728237792,183.04989384288749,180.39394904458598,220.30785562632695,262.8336518046709,262.8336518046709,215.5436305732484,161.53619957537157,207.3325636942675
Chaiyo,TH1502,2017,164.80808314087764,176.48579676674365,176.71547344110854,225.44041570438804,244.98129330254042,244.98129330254042,196.3130484988453,142.57505773672057,196.53755773672057
Pa Mok,TH1503,2017,176.43806970509385,190.71849865951742,188.3584450402145,227.88418230563,265.03592493297583,265.03592493297583,218.3970509383378,164.11018766756033,211.9972855227882
