admin2Name,admin2Pcod,Year,T_MAX,T_MAX_1,T_MAX_2,T_MAX_3,T_MAX_4,T_MAX_5,T_MAX_6,T_MAX_7,F_T_Max,T_Min,T_Min_1,T_Min_2,T_Min_3,T_Min_4,T_Min_5,T_Min_6,T_Min_7,F_T_Min,T_Mean,T_Mean_1,T_Mean_2,T_Mean_3,T_Mean_4,T_Mean_5,T_Mean_6,T_Mean_7,F_T_Mean
Mueang Chanthaburi,TH2201,2013,30.119640604654972,28.47529754638674,27.909395853678408,27.98391011555992,28.009751892089866,28.372703552246115,29.15930328369143,26.759046397489683,28.348631155724647,24.270769755045595,23.532605489095076,23.161472574869816,23.038834126790388,23.07989451090497,22.404505411783877,21.973843383789085,17.95755875531367,22.42743550094906,26.64638074239098,25.414695421854677,25.022738817003063,25.00114409128828,24.94211540222169,24.78094090355769,25.203581047058137,22.265094095117917,24.909586315061556
Khlung,TH2202,2013,30.405716030904813,28.748230798171818,27.931073472164627,28.11974538317357,28.089845886530565,28.65165404823328,29.802683866457734,28.16086127012944,28.738726344470727,24.936853513464484,24.24380423546777,23.756835235325656,23.92725620326041,23.697829531029168,23.05036366780601,22.75775597946484,19.460299407784255,23.228874721700322,27.26262060707417,26.063224728652134,25.554732841759282,25.64158759021792,25.523716361371868,25.35405816403581,25.900110601277028,23.59962896211022,25.61245998206231
Tha Mai,TH2203,2013,30.420038554056354,28.9683044451857,28.427583689207395,28.473311956966107,28.435917962175317,28.75950257206022,29.849504303033328,27.630113345101982,28.8705346034733,24.988236234289403,24.201382734845478,23.85899694181361,23.666457735400677,23.736925543574518,22.94361051129127,22.713439412690597,18.82965322662301,23.11733779256607,27.323627956275505,26.08124143055237,25.72704434138965,25.67075058023731,25.585084941186018,25.35429362885473,25.9156756265421,23.095485498253318,25.594150500411374
Pong Nam Ron,TH2204,2013,31.5645452543237,29.80669654320028,29.020821159187424,28.97776689639039,28.99282328726233,28.40727571070881,28.663257239330793,26.10818990742219,28.942671999728237,24.893506433771968,24.178013830075336,23.67565177391317,23.67172991873206,23.500351506814212,22.623578887150227,21.868800603932367,16.88062728549116,22.661532529985063,27.631726797695833,26.273104452812834,25.709222792117558,25.714292385203645,25.52854051699585,25.08085481124822,25.127505752592732,21.65095897194824,25.339525810076864
Makham,TH2205,2013,30.119640604654972,28.47529754638674,27.909395853678408,27.98391011555992,28.009751892089866,28.372703552246115,29.15930328369143,26.759046397489683,28.348631155724647,24.270769755045595,23.532605489095076,23.161472574869816,23.038834126790388,23.07989451090497,22.404505411783877,21.973843383789085,17.95755875531367,22.42743550094906,26.64638074239098,25.414695421854677,25.022738817003063,25.00114409128828,24.94211540222169,24.78094090355769,25.203581047058137,22.265094095117917,24.909586315061556
Laem Sing,TH2206,2013,30.315044657389347,28.69402567545575,27.864211527506534,28.06492055257164,28.019078063964866,28.55714314778648,29.728131103515647,28.113884151683155,28.669554859984174,24.975850931803407,24.264096577962263,23.778086853027368,23.94142812093101,23.710375976562524,23.10894215901695,22.829595438639345,19.56461307301243,23.27162364136941,27.26915092468264,26.073194228278286,25.56527625189889,25.646744134691048,25.51949170430503,25.335243203904913,25.898283195495626,23.636096890767448,25.617935066752988
Soi Dao,TH2207,2013,31.218291129405504,29.527491817553447,28.798468328260636,28.72877600371506,28.66724584952009,28.22036099214144,28.683204964910082,26.22403651341356,28.75848444986498,24.678787335254214,23.984745816479847,23.531622435377468,23.47653930262224,23.297070620205915,22.424379232946606,21.737573134657897,16.891961252650912,22.502834891274393,27.36677574180041,26.042128455924747,25.522314439358247,25.477365445296186,25.27960150349019,24.862068499866133,25.00327417163902,21.654998471079402,25.151065841056788
Kaeng Hang Maeo,TH2208,2013,31.008781472398507,29.54604974836753,29.044215091819947,29.11242001687681,29.06027227137054,29.09036056889658,30.312068986142336,28.071795623093617,29.405745472370732,24.99119847069826,24.327592424602834,23.97073147054737,23.81862851471692,23.970646560516165,23.094388044409165,22.52761849552097,17.80336257252723,23.063020819192364,27.520377134651497,26.321807819215497,25.960913061925122,25.9188720885947,25.836493729612773,25.641002908523866,26.100547160292813,22.864859399199247,25.770609162751942
Na Yai Am,TH2209,2013,30.422127261107015,29.036324032604494,28.50518757319544,28.61698977298666,28.47401154032158,28.813063961336002,30.030320576050293,28.110839801450474,29.00110806488149,25.529914972882647,24.763198384836734,24.454494040770577,24.316075566902036,24.261430101650447,23.492561679416255,23.36462991064081,19.755161307581883,23.742183245585174,27.744062528939107,26.5118784818004,26.18557581213397,26.163025539344623,25.986948975018635,25.698428294302428,26.300230302725435,23.743274817725755,26.041678093998797
Khao Khitchakut,TH2210,2013,29.644664476640195,28.127941461384083,27.51010057386086,27.497722612437826,27.54802493373622,27.463729150781763,28.26779974454439,26.096731978633006,27.769589366502288,23.836998703749163,23.037668537142057,22.656167234578405,22.457712511616943,22.520378143670808,21.709625908013763,21.216199463816984,17.121187991829192,21.81949231180216,26.188138340804755,24.92655500215787,24.492112045759846,24.441321591632274,24.365948046819554,24.044724963393502,24.41335167197762,21.554848056455572,24.303374964875125
Mueang Surin,TH3201,2013,33.322030932718654,31.669805892174008,31.212584188179623,30.380339423269664,29.256063523147535,28.94051427951838,29.46955504323221,26.577883406742508,30.10359708612282,25.509205950655986,24.73641335531329,24.349684485659502,24.102922614340752,23.715958833739347,22.26399042243757,21.572728969206764,16.066948734401898,22.789731670719384,28.83552295237835,27.616777426922155,27.11805923428423,26.57354079609671,25.924562555103606,25.285120988133915,25.279447822833994,21.131461060512247,25.970561604533145
Chumphon Buri,TH3202,2013,33.834055845306345,31.814622024392094,31.596184552538297,30.716706143381302,29.658077265661657,29.342406686539533,29.938958804135886,26.811304107252777,30.46403942865099,25.765528894007534,24.813046547218626,24.658431415839527,24.325839934837344,23.958432615192905,22.39490532857749,21.719454169660082,15.968080292667155,22.950464899750084,29.197337683809515,27.889605346118874,27.507285690584663,26.932159396756205,26.238530587299724,25.573935119593834,25.601353004309072,21.210334349280878,26.268817647219098
Tha Tum,TH3203,2013,33.300018812397965,31.61830128610155,31.38510615345491,30.573655261261457,29.430842248182866,29.306231480388856,29.867461268712052,26.754393176089863,30.279501210823693,25.59931232998043,24.79161864963368,24.5903242281192,24.273082152178226,23.91923368909495,22.342735306981496,21.705085953779932,16.0564771194787,22.909733678655826,28.93795989887801,27.73900308353932,27.383383750895387,26.80307104195611,26.13740239379801,25.519876184069304,25.513000859084038,21.143259576613282,26.14711959860418
