admin2Name,admin2Pcod,Year,T_MAX,T_MAX_1,T_MAX_2,T_MAX_3,T_MAX_4,T_MAX_5,T_MAX_6,T_MAX_7,F_T_Max,T_Min,T_Min_1,T_Min_2,T_Min_3,T_Min_4,T_Min_5,T_Min_6,T_Min_7,F_T_Min,T_Mean,T_Mean_1,T_Mean_2,T_Mean_3,T_Mean_4,T_Mean_5,T_Mean_6,T_Mean_7,F_T_Mean
Phu Ruea,TH4207,2012,29.231988525390648,27.23867340087893,26.693257141113303,26.0670837402344,27.364054870605493,27.013263956705753,28.384956868489606,26.63310241699221,27.32829761505129,21.979458723397112,21.94723103841148,21.373468017578148,21.112624613444034,21.029627482096377,20.313643391927105,20.35775349934898,18.147620064871674,20.782678353884364,25.019482768267075,24.07581121656632,23.62149651845299,23.129563543531656,23.530934609307202,23.57225685119631,24.156333160400422,22.263703500656884,23.671197771047357
Tha Li,TH4208,2012,31.487832124525674,30.032506604722453,29.4926164516027,28.840091780005423,29.46720951541603,29.477569560553146,31.089346600494117,28.475346545634437,29.79531489786925,23.85409604109877,24.104618836425495,23.476505880422977,23.158969208954723,22.942872482953916,22.602084630769742,22.596152916613583,19.811595524086336,22.81836194016569,27.12450740391816,26.62067438118698,26.137858470128453,25.509284366201744,25.659357982577763,25.862529453546895,26.63012664023687,23.997136315548975,25.94268437666823
Wang Saphung,TH4209,2012,31.772619824013997,30.15454824746624,29.628701715142903,28.861619986319347,29.374256299817915,28.98194327799482,30.102200796316364,28.02852663772173,29.61305209809916,24.091002788277095,23.952298318948856,23.692552583161802,23.098711363646387,23.112197440482504,22.116667138451955,22.12302576453409,19.63974066704123,22.728274508067983,27.426705893534045,26.648320941134646,26.30237945412304,25.50877995036818,25.708786863905555,25.399728264015387,25.8712120197285,23.770863267287346,25.829597081762085
Phu Kradueng,TH4210,2012,30.93728221367148,29.380438868204774,29.23074369430544,28.155355962117532,28.4182259877523,27.96695375442507,29.210469118754094,27.61465157100135,28.864265146279003,23.468097963004304,23.39570465087893,23.133872063954694,22.698141765594507,22.536529350280787,21.506003634134952,21.617817529042586,19.443792533874536,22.224994936345663,26.709858611534393,25.98250541687014,25.86486776140003,24.972849676344143,24.96496391296389,24.606007936265755,25.227017296685133,23.472536886306063,25.225075937296197
Phu Luang,TH4211,2012,31.709910645679265,29.79905637402557,29.30178936978957,28.546344305921963,29.36238098276644,28.986384260169377,30.234631934227895,28.09898435688198,29.504935278682755,24.047276794734277,23.80153562999909,23.432737850833263,22.973575280920272,23.132835277210603,22.626900815757345,22.5096551143762,20.168380806379744,22.836612196276352,27.385359103004525,26.371285807621966,26.03581341087046,25.26940246004049,25.7138181531722,25.686579274649585,26.116817911651772,24.062004426851217,25.83013506848278
Pha Khao,TH4212,2012,32.12997633215092,30.364275167821898,30.24081084791564,28.946498399026378,29.364760976238326,29.01408736562344,30.143606176195455,28.660262854528504,29.858034764937567,24.403283835994742,24.107553396664365,23.993581416432473,23.30054210549127,23.15164688317113,22.027708277922038,22.059618185400016,19.637931616381096,22.835233214682145,27.757998334861323,26.882808719142258,26.759198954478,25.71826502857711,25.743609239324996,25.33480908890944,25.941574628049466,24.128145468723314,26.03330118275824
Erawan,TH4213,2012,31.728011051478394,30.080343183830625,29.6339201810467,28.701705133997997,29.165943255068683,28.78068459050575,29.849550660546175,28.126869542624167,29.50837844988731,24.058082987362763,23.934762850329673,23.681291896383584,23.08302808239688,22.88130976510881,21.82091038566326,21.728025010142186,19.23323241081322,22.552580423525047,27.368530938146403,26.632754818867323,26.3056266611963,25.45215851140065,25.526190305112046,25.111150618848935,25.631366161896842,23.692456332479907,25.715029293493554
Nong Hin,TH4214,2012,31.539337482777306,29.88197395906872,29.44834605757015,28.55011840983729,29.02106326101936,28.59236592365558,29.744731918396262,27.8542278243835,29.329020604588518,23.880857715361063,23.67049536647569,23.45404785850762,22.88229164623993,22.8872218651625,21.834878066138273,21.917701553692005,19.560076976082364,22.510946380957435,27.201855589743342,26.36302045935344,26.10180816216324,25.23876314576001,25.410051707038402,25.076146040767096,25.585929322827898,23.633176696640213,25.576343890536705
Mueang Satun,TH9101,2012,29.282202043204496,29.459553019205753,28.80547790527346,29.32330729166669,28.186273193359398,28.52610117594403,29.11827341715497,28.217026628766764,28.864776834321948,23.716168318123675,23.65488942464195,23.27149810791018,23.273480224609397,22.985993957519554,22.78795623779299,22.98782857259117,22.614688982282388,23.161562978183913,25.873130285328845,26.239447826809382,25.58161479102242,25.850654580858038,25.109838146633592,24.96673384772408,25.3317210727268,24.79351423354378,25.468331848080865
Khuan Don,TH9102,2012,29.282202043204496,29.459553019205753,28.80547790527346,29.32330729166669,28.186273193359398,28.52610117594403,29.11827341715497,28.217026628766764,28.864776834321948,23.716168318123675,23.65488942464195,23.27149810791018,23.273480224609397,22.985993957519554,22.78795623779299,22.98782857259117,22.614688982282388,23.161562978183913,25.873130285328845,26.239447826809382,25.58161479102242,25.850654580858038,25.109838146633592,24.96673384772408,25.3317210727268,24.79351423354378,25.468331848080865
