admin2Name,admin2Pcod,Year,EVI,EVI_1,EVI_2,EVI_3,EVI_4,EVI_5,EVI_6,EVI_7,EVI_p75
Kong Ra,TH9302,2017,0.5563639426088888,0.6095809085466557,0.6028913299621408,0.6499767547453406,0.5805572740000158,0.5779459817755419,0.5796283119135234,0.5139489270977586,0.5879580987785366
Khao Chaison,TH9303,2017,0.5211917033075057,0.6245139713623753,0.592905121507591,0.6028203062193531,0.6118823806158951,0.6199575339358622,0.5734652235237829,0.49902122238555124,0.5915769728845709
Tamot,TH9304,2017,0.5428999078286787,0.8988001350831121,0.5591910690633037,0.5845158627149226,0.6073995188577578,0.5735310314502335,0.5537885627598516,0.4475268689502464,0.6197220852074974
Khuan Khanun,TH9305,2017,0.4711826599230034,0.5067385023395587,0.4953147201296821,0.48812171337144067,0.524025283484136,0.5126875507588177,0.5320945505326716,0.41420061958151444,0.49584878516172065
Pak Phayun,TH9306,2017,0.5892543873826381,0.5191687731933422,0.47745011537439547,0.45583475785759403,0.47489221589481845,0.4810005442909478,0.4859859359170143,0.38013130375859117,0.48107917542759127
Si Banphot,TH9307,2017,0.5429300797269311,0.6373924967913527,0.5800272113084226,0.49514114234564366,0.5942680139325558,0.5926389342532982,0.7168275628318943,0.5833461360495739,0.6099497516111545
Pa Bon,TH9308,2017,0.6142735133693549,0.6162751832749379,0.5663713583292563,0.5889154158439982,0.5484465824268808,0.5872070641793569,0.5538774323705615,0.5454518061647475,0.5757806724179894
Bang Kaeo,TH9309,2017,0.5029283517720148,0.6157291902988726,0.5913694893396068,0.7245976556577977,0.610491008262816,0.5855586744553414,0.5643701140366195,0.5015572731636438,0.6002743175691343
Pa Phayom,TH9310,2017,0.5122158807379446,0.5843966170206628,0.5611524452413275,0.5606575404372983,0.5411911867597551,0.5402969761947235,0.5361020076365263,0.5317707334145074,0.5491840847488546
Srinagarindra,TH9311,2017,0.5989576231611902,0.661084071168855,0.6032358448703912,0.5899536471253463,0.5891690080836439,0.6456649044270271,0.7324039339622819,0.5381403341750506,0.6256416906475069
Mueang Lop Buri,TH1601,2017,0.28126043577696896,0.3905111254845562,0.5315471233303238,0.44165771093500494,0.40110872371704637,0.4424918751209656,0.3653973398152938,0.3125828289953804,0.37174879051054077
Phatthana Nikhom,TH1602,2017,0.2693473575889515,0.4835529547386896,0.5339136858899856,0.4744554812566313,0.49272946708566606,0.6259072550069419,0.5110119348949572,0.3938285225967045,0.4586254081217962
Khok Samrong,TH1603,2017,0.2679946450208875,0.34625250381154626,0.37910628426949416,0.4200455605304031,0.45262885598033165,0.6580199995049494,0.4331957514340774,0.32839573266986444,0.4127636603263068
Chai Badan,TH1604,2017,0.25434945344052007,0.4474672453524338,0.5558824760049174,0.5297278657823007,0.51143557358708,0.7059948646210146,0.4879988102808243,0.4053101602358014,0.45381663871490197
Tha Wung,TH1605,2017,0.27207250803150007,0.3519177127487621,0.4757340307580864,0.4149618362585136,0.3417115734409744,0.30762408953885,0.28343807135446997,0.3054138625051194,0.3234100027047371
Ban Mi,TH1606,2017,0.2862563171017972,0.2950747906991296,0.38104697241415425,0.46967088391708817,0.40723037276423063,0.35359201318599837,0.3416313374660781,0.3059114277129397,0.3394393786617492
Tha Luang,TH1607,2017,0.22650782291081692,0.40737519360309493,0.5137693938585238,0.5492421538112934,0.5425632414398034,0.5630082119341895,0.5186571432981621,0.44165741548661436,0.44647170523154284
Sa Bot,TH1608,2017,0.24467432959732016,0.3550022393938637,0.3877944580077373,0.46284283363400214,0.4774227998386476,0.7036825563330065,0.4515939536093026,0.34697455907256103,0.40499372043519183
Khok Charoen,TH1609,2017,0.21073785335787062,0.38314101458177585,,0.5920321125373638,0.49981455480082615,0.5455319012980329,0.49069660290440364,0.3920910881673313,0.3971629221751866
Lam Sonthi,TH1610,2017,0.23574442880021648,0.41374042501003394,,0.5169957111283418,0.4945155085032975,0.5832388081262927,0.47733477239354066,0.40726790542702407,0.41351702281372177
Nong Muang,TH1611,2017,0.22649974241847176,0.36666890786371803,0.5076218528245876,0.5437306232504348,0.5016120265259029,0.5343989719872656,0.5205735651214335,0.44396276348724856,0.4198466612195629
Mueang Chai Nat,TH1801,2017,0.2966743214913979,0.47201096633375234,0.4870499463521393,0.4355307228043836,0.31696905014875,0.4302634475508656,0.45435511445235277,0.33799430780248385,0.39299025738642274
Manorom,TH1802,2017,0.2839979873403526,0.3852306827980525,0.5034051091530628,0.4521914079473726,0.3989178136599699,0.40278479811325024,0.3899908703233563,0.32170727420708434,0.3758535925001953
Wat Sing,TH1803,2017,0.387759048100466,0.4022112413430048,0.5375057301964181,0.48078702489397585,0.4734928372601677,0.4122519905243704,0.3636048902844894,0.3683409761575164,0.41405863175206603
Sapphaya,TH1804,2017,0.26286583247539497,0.4898040746180564,0.4561187084863675,0.4227897996655848,0.2599348152068756,0.30769720991647403,0.32696243716325746,0.29551019388124244,0.3329749059770818
Sankhaburi,TH1805,2017,0.27956870094033165,0.44937313722619854,0.5371448299830892,0.4942044188072924,0.3036237017965173,0.355564915105397,0.4620083482480295,0.3788580554641073,0.3909138574400212
Hankha,TH1806,2017,0.3531448677854934,0.4264313301643796,0.5696571912834507,0.5038062350839955,0.4437236521195918,0.41931827834224306,0.36409233621477594,0.36295913438160365,0.4167091520207606
Nong Mamong,TH1807,2017,0.39085247289299546,0.4239313239801851,,0.48020203973962544,0.5093215124485694,0.4614069938525149,0.39759572089786266,0.39033946842110645,0.43710787251878974
Noen Kham,TH1808,2017,0.3470918144691322,0.3852181379134825,,0.5258458876776924,0.5438249623794599,0.5262104228744676,0.43457163624391515,0.4296140352845722,0.45994021862705614
