admin2Name,admin2Pcod,Year,ET,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,ET_7,Avg_ET,PET,PET_1,PET_2,PET_3,PET_4,PET_5,PET_6,PET_7,Avg_PET
Phang Khon,TH4705,2016,158.69021001615516,138.724071082391,130.55954765751216,124.43066235864298,109.34303715670437,101.8667851373183,76.75861066235866,56.736575121163185,112.13868739903072,158.69021001615516,138.724071082391,130.55954765751216,124.43066235864298,109.34303715670437,120.99663974151859,108.15382875605819,107.07738287560585,124.7469224555735
Waritchaphum,TH4706,2016,159.80218825981243,137.20441125390758,129.93306703716564,124.21997221257378,109.08318860715525,103.02198680097254,76.59812434873218,56.47957624175059,112.04281434525875,159.80218825981243,137.20441125390758,129.93306703716564,124.21997221257378,109.08318860715525,121.22316776658558,108.32837790899615,107.27009378256338,124.63305835359499
Nikhom Nam Un,TH4707,2016,160.93448735019973,135.57696404793612,128.8747003994674,123.96564580559259,109.41478029294275,102.96737683089218,76.45486018641812,57.21824234354195,111.92588215712387,160.93448735019973,135.57696404793612,128.8747003994674,123.96564580559259,109.41478029294275,121.65952063914781,108.3966711051931,107.48468708388816,124.53843209054595
Wanon Niwat,TH4708,2016,156.0557038135244,139.02498146775386,130.18916069516513,123.86488757104031,107.60495016884929,102.85917140268513,78.88850177085907,56.89709249649946,111.92305617329707,156.0557038135244,139.02498146775386,130.18916069516513,123.86488757104031,107.60495016884929,119.1790462070669,105.95977267111435,103.98169837739886,123.23252512148918
Kham Ta Kla,TH4709,2016,152.54657079646017,137.96957964601768,129.3970132743363,123.12149705014752,106.9327802359882,104.2345501474926,80.68735250737464,57.32175516224189,111.52638735250734,152.54657079646017,137.96957964601768,129.3970132743363,123.12149705014752,106.9327802359882,118.15191740412979,103.2331120943953,99.98849557522125,121.41762075958705
Ban Muang,TH4710,2016,151.98254274682847,137.5752895752896,129.31260341974624,123.38397683397683,106.09303640375067,105.06547159404303,81.16366519580802,55.51857418643133,111.2618949944843,151.98254274682847,137.5752895752896,129.31260341974624,123.38397683397683,106.09303640375067,117.66944291230006,102.4485245449531,97.96927744070602,120.80433673469388
Akat Amnuai,TH4711,2016,156.01739039665975,138.74365344467643,129.87348643006263,123.39582463465555,108.83693110647185,103.46275574112734,79.0361586638831,58.61636743215032,112.24782098121086,156.01739039665975,138.74365344467643,129.87348643006263,123.39582463465555,108.83693110647185,119.91206680584555,105.65386221294365,104.02530271398746,123.30731471816283
Sawang Daen Din,TH4712,2016,157.49837420526785,137.7158946412352,130.40990917347864,124.4347502270663,108.15519527702084,103.78750227066301,77.43392370572208,54.274305177111685,111.7137318346957,157.49837420526785,137.7158946412352,130.40990917347864,124.4347502270663,108.15519527702084,119.48063578564938,107.57739327883743,105.7877929155313,123.88249318801081
Song Dao,TH4713,2016,159.3805421103582,136.24966118102617,129.35750242013552,123.62710551790902,108.17231364956439,103.35730880929331,77.16647305582445,55.66911907066795,111.6225032268474,159.3805421103582,136.24966118102617,129.35750242013552,123.62710551790902,108.17231364956439,118.80122620200069,107.88299451435948,106.6973217166828,123.77108341400454
Tao Ngoi,TH4714,2016,163.15763033175358,135.72777251184837,130.13061611374408,123.5842654028436,110.73184834123224,104.27582938388626,75.79924170616115,58.56331753554503,112.74631516587678,163.15763033175358,135.72777251184837,130.13061611374408,123.5842654028436,110.73184834123224,122.17943127962087,110.48511848341234,110.16445497630332,125.77014218009484
Khok Si Suphan,TH4715,2016,163.19381835473138,136.871754636234,130.74835948644795,123.67508321445555,111.10513552068474,103.99067998097954,75.79163100332859,59.667522586780784,113.13049809795532,163.19381835473138,136.871754636234,130.74835948644795,123.67508321445555,111.10513552068474,121.97498811222066,110.67979077508322,111.60884450784596,126.23222182596291
Charoen Sin,TH4716,2016,156.08729425933353,138.8132075471698,130.237354476114,124.08464472099561,107.08376154154956,103.82882376555598,78.89311521477319,54.87765957446808,111.738232637495,156.08729425933353,138.8132075471698,130.237354476114,124.08464472099561,107.08376154154956,119.02244078683265,106.2230429546367,104.08950220794858,123.20515606182256
Phon Na Kaeo,TH4717,2016,161.9191117092867,137.53935397039032,130.0062718707941,122.85738896366084,109.8185464333782,100.72409152086138,76.26874831763124,60.7949663526245,112.49105989232841,161.9191117092867,137.53935397039032,130.0062718707941,122.85738896366084,109.8185464333782,119.03795423956932,110.28546433378199,111.23512786002694,125.33740242261106
Phu Phan,TH4718,2016,162.30579022306597,134.51495016611298,128.89136212624587,123.17854769814906,109.46915045087805,104.69012814428099,76.99150450878028,59.106407214048424,112.3934800664452,162.30579022306597,134.51495016611298,128.89136212624587,123.17854769814906,109.46915045087805,121.88637873754155,109.96459420977695,109.78576174655912,124.9995669197912
Mueang Nakhon Phanom,TH4801,2016,160.54565936337323,136.80568416701112,129.02825547747003,121.61620504340635,109.30353451839602,102.2794336502687,75.40936337329474,60.86852004960726,111.98208195535344,160.54565936337323,136.80568416701112,129.02825547747003,121.61620504340635,109.30353451839602,118.39929723026043,108.364406779661,108.18052914427447,124.03044646548159
Pla Pak,TH4802,2016,162.05692990239575,136.9792014196983,129.65648624667259,122.25907719609583,109.72839396628216,101.69469387755103,75.73822537710736,60.864649511978705,112.3722071872227,162.05692990239575,136.9792014196983,129.65648624667259,122.25907719609583,109.72839396628216,119.08629991126885,110.27888198757765,110.90493345164151,125.11877551020409
